id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returnedreason,deceasedreason,diedoffshelter,puttosleep,isdoa
830,2017-06-19,Litter relinquishment,0,C1706521,981020021063316,Loretta,Domestic Short Hair,Black,Cat,1.6,Female,Feline Nursery,2017-07-05,Foster,0.0,Stray,Court Order/ Legal,0,0,0
831,2017-06-19,Stray,0,C1706522,981020021022904,Julius,Domestic Short Hair,White,Cat,2.0,Male,Feline Nursery,2017-06-29,Foster,0.0,Stray,Court Order/ Legal,0,0,0
832,2017-06-19,Stray,0,C1706524,0A29420151,Tillo,Domestic Short Hair,Black,Cat,4.4,Male,Stray Cats,2017-06-26,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
833,2017-06-19,Stray,0,C1706525,981020021059907,Missy,Domestic Short Hair,Grey and White,Cat,2.4,Female,Adoptable Cat Small Colony,2017-07-28,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
834,2017-06-19,Unable to Afford,0,C1706526,108617379,Avery,Domestic Long Hair,Black and White,Cat,4.3,Male,Stray Cats,2017-06-20,Transfer,0.0,Stray,Court Order/ Legal,0,0,0
835,2017-06-19,Unable to Afford,0,C1706527,981020015438788,Maizey,Domestic Long Hair,Grey,Cat,3.4,Male,Adoptable Cat Big Colony,2017-07-07,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
836,2017-06-19,Stray,0,D1706528,0A00640083,Putches,Husky,Tan,Dog,2.4,Female,Stray Dogs Beta,2017-06-20,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
837,2017-06-19,Stray,0,C1706529,981020021001841,Cisco,Domestic Short Hair,Black,Cat,1.6,Male,Adoptable Cat Kennels,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
838,2017-06-19,Unsuitable Accommodation,0,D1706527,981020021820794,Angel,Rat Terrier,Black and White,Dog,10.4,Female,Adoptable Dogs,2017-07-02,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
839,2017-06-19,Stray,0,C1706531,981020021067071,Titan,Domestic Short Hair,Tabbico,Cat,1.5,Female,Office,2017-07-29,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
840,2017-06-19,Unsuitable Accommodation,0,D1706529,981020021056188,Ceasar,Rat Terrier,Black and White,Dog,3.0,Male,Stray Dogs Theta,2017-07-18,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
841,2017-06-19,Litter relinquishment,0,D1706530,981020021065003,Jade,Pitbull/Mastiff,Black,Dog,1.5,Female,Adoptable Dogs,2017-06-26,Foster,0.0,Stray,Court Order/ Legal,0,0,0
842,2017-06-19,Litter relinquishment,0,D1706531,981020021055572,Jo Jo,Pitbull/Mastiff,Black,Dog,1.5,Female,Adoptable Dogs,2017-06-26,Foster,0.0,Stray,Court Order/ Legal,0,0,0
843,2017-06-19,Litter relinquishment,0,D1706532,981020021045398,Josie,Pitbull/Mastiff,Black,Dog,1.5,Female,Adoptable Dogs,2017-06-26,Foster,0.0,Stray,Court Order/ Legal,0,0,0
844,2017-06-19,Litter relinquishment,0,D1706533,981020021019620,Skittles,Pitbull/Mastiff,Brindle,Dog,1.5,Female,Adoptable Dogs,2017-06-26,Foster,0.0,Stray,Court Order/ Legal,0,0,0
845,2017-06-19,Litter relinquishment,0,C1706535,981020021400330,Gigi,Domestic Short Hair,Black,Cat,2.9,Female,Adoptable Cat Glass Colony,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
846,2017-06-19,Litter relinquishment,0,C1706536,981020021044564,Blythe,Domestic Short Hair,Tortie,Cat,1.4,Female,Feline Nursery,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
847,2017-06-19,Litter relinquishment,0,C1706537,981020021858429,Stockard,Domestic Short Hair,Calico,Cat,1.4,Female,Adoptable Cat Middle Colony,2017-06-23,Foster,0.0,Stray,Court Order/ Legal,0,0,0
